City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,Faanui,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
162,Jerome,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
163,Goumeron,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
164,Hervey Bay,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
165,Skibbereen,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
166,Waipawa,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
167,Tacoronte,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
168,Cockburn Town,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
169,Hefei,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
170,Hilo,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
171,Kidal,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
172,Broome,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
173,Rekhasim,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
174,Puri,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
175,Wainwright,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
176,Usagara,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
177,Alice Springs,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
178,Taunggyi,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
179,Aquiraz,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
180,Port Lincoln,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
181,Lavrentiya,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
182,Norman Wells,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
183,Aldan,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
184,Lagoa,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
185,Sechura,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
186,Esperance,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
187,Kruisfontein,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
188,Sao Felix Do Xingu,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
189,Mbulu,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
190,Samarai,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
191,Bluff,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
192,Tunduru,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
193,Ilulissat,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
194,Dingle,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
195,Karaton,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
196,Zarechnyy,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
197,Hornepayne,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
198,Aginskoye,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
199,Baruun-Urt,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
200,Mitsamiouli,-11.3847,43.2844,81.86,75,40,7.07,KM,2021-04-04 22:45:15
201,Chase,-11.3847,43.2844,81.86,75,40,7.07,KM,2021-04-04 22:45:15
202,Rocha,-11.3847,43.2844,81.86,75,40,7.07,KM,2021-04-04 22:45:15
203,Suleja,-11.3847,43.2844,81.86,75,40,7.07,KM,2021-04-04 22:45:15
204,Vestmannaeyjar,-11.3847,43.2844,81.86,75,40,7.07,KM,2021-04-04 22:45:15
205,Pauini,-11.3847,43.2844,81.86,75,40,7.07,KM,2021-04-04 22:45:15
206,Upernavik,-11.3847,43.2844,81.86,75,40,7.07,KM,2021-04-04 22:45:15
207,Kholodnyy,-11.3847,43.2844,81.86,75,40,7.07,KM,2021-04-04 22:45:15
208,Inhambane,-11.3847,43.2844,81.86,75,40,7.07,KM,2021-04-04 22:45:15
209,Great Bend,-11.3847,43.2844,81.86,75,40,7.07,KM,2021-04-04 22:45:15
210,Trelew,-11.3847,43.2844,81.86,75,40,7.07,KM,2021-04-04 22:45:15
211,Prince Rupert,-11.3847,43.2844,81.86,75,40,7.07,KM,2021-04-04 22:45:15
212,Ivanishchi,-11.3847,43.2844,81.86,75,40,7.07,KM,2021-04-04 22:45:15
213,Berdigestyakh,-11.3847,43.2844,81.86,75,40,7.07,KM,2021-04-04 22:45:15
214,Morehead,-11.3847,43.2844,81.86,75,40,7.07,KM,2021-04-04 22:45:15
215,Nisia Floresta,-11.3847,43.2844,81.86,75,40,7.07,KM,2021-04-04 22:45:15
