City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
300,Mahanoro,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
301,Moa,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
302,Labuhan,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
303,Samalaeulu,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
304,Saint George,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
305,Lamu,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
306,Heishan,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
307,Ridgecrest,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
308,Buqayq,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
309,Plettenberg Bay,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
310,Ureshino,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
311,Tiksi,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
312,Port Keats,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
313,Kavieng,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
314,Dingli,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
315,Pleasant Point,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
316,Bilma,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
317,Abhar,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
318,Matagami,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
319,Mae Hong Son,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
320,Ukiah,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
321,Portland,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
322,Vaitupu,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
323,Victoria,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
324,Karaul,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
325,Kampene,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
326,Lalibela,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
327,Kirovskiy,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
328,Saint-Pierre,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
329,Nanchong,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
330,Moyo,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
331,Richards Bay,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
332,Togur,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
333,Kaoma,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
334,Corrente,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
335,Mys Shmidta,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
336,Cervo,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
337,Asau,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
338,Tingi,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
339,Monki,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
340,Salina Cruz,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
341,Tuatapere,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
342,Lakota,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
343,Lata,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
344,Selikhino,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
345,Iberia,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
346,Mareeba,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
347,Nantucket,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
348,Conde,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
349,Rio Gallegos,MG,75.51,-19.9,48.8,BUNGALOW MAHAMANINA
